PUBCHEM_COMPOUND_CID,PUBCHEM_CACTVS_COMPLEXITY,PUBCHEM_CACTVS_HBOND_ACCEPTOR,PUBCHEM_CACTVS_HBOND_DONOR,PUBCHEM_CACTVS_ROTATABLE_BOND,PUBCHEM_IUPAC_NAME,PUBCHEM_XLOGP3_AA,PUBCHEM_MOLECULAR_FORMULA,PUBCHEM_MOLECULAR_WEIGHT,PUBCHEM_SMILES,PUBCHEM_CACTVS_TPSA,PUBCHEM_TOTAL_CHARGE,PUBCHEM_HEAVY_ATOM_COUNT,Description
529,145.0,6,3,3,2-phosphonooxyacetic acid,-2.0,C2H5O6P,156.03,C(C(=O)O)OP(=O)(O)O,104.0,0,9,2-phosphoglycolic acid is the O-phospho derivative of glycolic acid. It has a role as an Escherichia coli metabolite and a mouse metabolite. It is functionally related to a glycolic acid. It is a conjugate acid of a 2-phosphonatoglycolate(3-) and a 2-phosphoglycolate.
531,1450.0,23,10,22,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-aminobutanethioate",,C25H43N8O17P3S,852.6,CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)N,415.0,0,54,
532,2350.0,20,10,20,"3-[8,13,17-tris(2-carboxyethyl)-2,7,12,18-tetrakis(carboxymethyl)-1,2,7,11,17-pentamethyl-3,10,21,24-tetrahydrocorrin-3-yl]propanoic acid",-1.6,C44H54N4O16,894.9,CC12CC3=C(C(C(=N3)C=C4C(C(C(N4)(C5=C(C(C(=CC(=N1)C(=C2CC(=O)O)CCC(=O)O)N5)(C)CCC(=O)O)CC(=O)O)C)(C)CC(=O)O)CCC(=O)O)(C)CC(=O)O)CCC(=O)O,347.0,0,64,
533,0.0,0,0,0,selane,,H2Se,80.99,[SeH2],0.0,0,1,Selane is a selenium hydride and a mononuclear parent hydride. It has a role as an Escherichia coli metabolite and a mouse metabolite. It is a conjugate base of a selenonium. It is a conjugate acid of a selanide.
534,2270.0,20,10,20,"3-[8,13,17-tris(2-carboxyethyl)-2,7,12,18-tetrakis(carboxymethyl)-1,2,7,11,17-pentamethyl-3,10,18,19,21,24-hexahydrocorrin-3-yl]propanoic acid",-0.9,C44H56N4O16,896.9,CC12CC3=C(C(C(=N3)C=C4C(C(C(N4)(C5C(C(C(=CC(=N1)C(=C2CC(=O)O)CCC(=O)O)N5)(C)CCC(=O)O)CC(=O)O)C)(C)CC(=O)O)CCC(=O)O)(C)CC(=O)O)CCC(=O)O,347.0,0,64,
535,106.0,3,2,1,1-aminocyclopropane-1-carboxylic acid,,C4H7NO2,101.1,C1CC1(C(=O)O)N,63.3,0,7,1-aminocyclopropanecarboxylic acid is a non-proteinogenic alpha-amino acid consisting of cyclopropane having amino and carboxy substituents both at the 1-position. It has a role as a plant metabolite and a member of ethylene releasers. It is a monocarboxylic acid and a non-proteinogenic alpha-amino acid. It is functionally related to a cyclopropanecarboxylic acid. It is a conjugate acid of a 1-aminocyclopropanecarboxylate. It is a tautomer of a 1-aminocyclopropanecarboxylic acid zwitterion.
536,2210.0,18,8,18,"3-[3,13,17-tris(2-carboxyethyl)-2,7,18-tris(carboxymethyl)-1,2,5,7,11,15,17-heptamethyl-12-methylidene-8,10,15,18,19,23-hexahydro-3H-corrin-8-yl]propanoic acid",-0.3,C45H60N4O14,881.0,CC1C2=C(C(=C)C(N2)(CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)(C(C4CCC(=O)O)(C)CC(=O)O)C)C)C(C3CCC(=O)O)(C)CC(=O)O)C)CCC(=O)O,310.0,0,63,
537,2140.0,18,7,18,"3-[3,12,17-tris(2-carboxyethyl)-2,13,18-tris(carboxymethyl)-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanoic acid",0.4,C45H62N4O14,883.0,CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)(C(C4CCC(=O)O)(C)CC(=O)O)C)C)C(C3CCC(=O)O)(C)CC(=O)O)(C)C)CCC(=O)O,311.0,0,63,
538,2140.0,16,7,18,"3-[13,18-bis(2-amino-2-oxoethyl)-3,12,17-tris(2-carboxyethyl)-2-(carboxymethyl)-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanoic acid",-0.9,C45H64N6O12,881.0,CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)(C(C4CCC(=O)O)(C)CC(=O)N)C)C)C(C3CCC(=O)O)(C)CC(=O)N)(C)C)CCC(=O)O,322.0,0,63,
539,2150.0,16,7,18,"3-[13,18-bis(2-amino-2-oxoethyl)-3,12,17-tris(2-carboxyethyl)-2-(carboxymethyl)-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanoic acid;cobalt",,C45H64CoN6O12,940.0,CC1C2C(C(C(=N2)CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)(C(C4CCC(=O)O)(C)CC(=O)N)C)C)C(C3CCC(=O)O)(C)CC(=O)N)(C)C)CCC(=O)O.[Co],322.0,0,64,
540,31.3,2,1,0,cyanic acid,0.1,CHNO,43.025,C(#N)O,44.0,0,3,Cyanic acid is a one-carbon compound and a pseudohalogen oxoacid. It is a conjugate acid of a cyanate. It is a tautomer of an isocyanic acid.
541,156.0,3,0,1,4-nitrobenzaldehyde,,C7H5NO3,151.12,C1=CC(=CC=C1C=O)[N+](=O)[O-],62.9,0,11,4-nitrobenzaldehyde is a C-nitro compound that is benzaldehyde substituted at the para-position with a nitro group. It is a C-nitro compound and a member of benzaldehydes.
542,194.0,4,1,2,2-(5-oxo-2H-furan-2-yl)acetic acid,-0.2,C6H6O4,142.11,C1=CC(=O)OC1CC(=O)O,63.6,0,10,"5-oxo-2,5-dihydro-2-furylacetic acid is a 5-oxo-2-furylacetic acid having the C=C double bond at the 3,4-position. It is a conjugate acid of a 5-oxo-2,5-dihydro-2-furylacetate."
543,304.0,6,2,3,2-(carboxymethyl)-5-oxofuran-2-carboxylic acid,-0.7,C7H6O6,186.12,C1=CC(OC1=O)(CC(=O)O)C(=O)O,101.0,0,13,"2-(carboxymethyl)-5-oxo-2,5-dihydro-2-furoic acid is a 5-oxo-2-furylacetic acid having a carboxy group at the 2-position. It is a furoic acid and a 5-oxo-2-furylacetic acid. It is a conjugate acid of a 2-(carboxylatomethyl)-5-oxo-2,5-dihydro-2-furoate(2-)."
544,8.0,3,0,0,arsorite,,AsO3-3,122.92,[O-][As]([O-])[O-],69.2,-3,4,
545,8.0,3,3,0,arsorous acid,,AsH3O3,125.944,O[As](O)O,60.7,0,4,Arsenous acid is an arsenic oxoacid consisting of three hydroxy groups attached to a central arsenic atom. It is a conjugate acid of an arsenite(1-).
546,133.0,5,3,2,2-phosphonoacetic acid,-2.0,C2H5O5P,140.03,C(C(=O)O)P(=O)(O)O,94.8,0,8,Phosphonoacetic acid is a member of the class of phosphonic acids that is phosphonic acid in which the hydrogen attached to the phosphorous is replaced by a carboxymethyl group. It has a role as an antiviral agent and an EC 2.7.7.7 (DNA-directed DNA polymerase) inhibitor. It is a monocarboxylic acid and a member of phosphonic acids. It is functionally related to a phosphonic acid and an acetic acid. It is a conjugate acid of a hydrogen phosphonatoacetate(2-).
547,168.0,4,3,2,"2-(3,4-dihydroxyphenyl)acetic acid",,C8H8O4,168.15,C1=CC(=C(C=C1CC(=O)O)O)O,77.8,0,12,"(3,4-dihydroxyphenyl)acetic acid is a dihydroxyphenylacetic acid having the two hydroxy substituents located at the 3- and 4-positions. It is a metabolite of dopamine. It has a role as a human metabolite. It is a dihydroxyphenylacetic acid and a member of catechols. It is functionally related to a phenylacetic acid. It is a conjugate acid of a (3,4-dihydroxyphenyl)acetate."
548,312.0,6,3,5,5-(hydroxymethylidene)-2-oxohept-3-enedioic acid,-0.1,C8H8O6,200.14,C(C(=CO)C=CC(=O)C(=O)O)C(=O)O,112.0,0,14,
550,328.0,7,3,6,"5-oxopent-3-ene-1,2,5-tricarboxylic acid",-0.9,C8H8O7,216.14,C(C(C=CC(=O)C(=O)O)C(=O)O)C(=O)O,129.0,0,15,
551,238.0,5,3,4,"2-hydroxyhepta-2,4-dienedioic acid",0.2,C7H8O5,172.13,C(C=CC=C(C(=O)O)O)C(=O)O,94.8,0,12,
553,221.0,6,3,6,4-hydroxy-2-oxoheptanedioic acid,-1.2,C7H10O6,190.15,C(CC(=O)O)C(CC(=O)C(=O)O)O,112.0,0,13,"4-hydroxy-2-oxoheptanedioic acid is an oxo dicarboxylic acid consisting of pimelic acid substituted at positions 2 and 4 by oxo and hydroxy groups respectively. It is an oxo dicarboxylic acid and a dicarboxylic fatty acid. It is functionally related to a pimelic acid. It is a conjugate acid of a 4-hydroxy-2-oxoheptanedioate. It is a tautomer of a 2,4-dihydroxyhept-2-enedioic acid."
554,148.0,2,0,0,"1,1-dimethylpyrrolidin-1-ium-2-carboxylate",1.0,C7H13NO2,143.18,C[N+]1(CCCC1C(=O)[O-])C,40.1,0,10,"1,1-Dimethylpyrrolidinium-2-carboxylate is a proline derivative."
555,154.0,2,1,1,"1,1-dimethylpyrrolidin-1-ium-2-carboxylic acid",0.4,C7H14NO2+,144.19,C[N+]1(CCCC1C(=O)O)C,37.3,1,10,DL-Stachydrine is a proline derivative.
556,288.0,6,3,8,2-(3-carboxypropanoylamino)-5-oxopentanoic acid,-1.6,C9H13NO6,231.2,C(CC(C(=O)O)NC(=O)CCC(=O)O)C=O,121.0,0,16,
557,124.0,3,1,1,1-methylpyrrolidine-2-carboxylic acid,-1.9,C6H11NO2,129.16,CN1CCCC1C(=O)O,40.5,0,9,
558,208.0,4,3,5,5-(diaminomethylideneamino)-2-oxopentanoic acid,-1.6,C6H11N3O3,173.17,C(CC(=O)C(=O)O)CN=C(N)N,119.0,0,12,5-guanidino-2-oxopentanoic acid is a 2-oxo monocarboxylic acid that is 2-oxopentanoic acid in which one of the methyl hydrogens is substituted by a carbamimidamido group. It has a role as a mouse metabolite and a human metabolite. It is functionally related to a valeric acid. It is a conjugate acid of a 5-guanidino-2-oxopentanoate. It is a tautomer of a 5-guanidino-2-oxopentanoic acid zwitterion.
559,107.0,2,2,4,2-(4-oxobutyl)guanidine,-1.5,C5H11N3O,129.16,C(CC=O)CN=C(N)N,81.5,0,9,4-guanidinobutanal is a member of butanals. It is a conjugate base of a 4-guanidiniumylbutanal.
560,177.0,6,4,5,"3,4,6-trihydroxy-5-oxohexanoic acid",-2.4,C6H10O6,178.14,C(C(C(C(=O)CO)O)O)C(=O)O,115.0,0,12,
561,259.0,7,2,7,"(5-methylsulfanyl-2,3-dioxopentyl) dihydrogen phosphate",-1.6,C6H11O6PS,242.19,CSCCC(=O)C(=O)COP(=O)(O)O,126.0,0,14,"5-(methylsulfanyl)-2,3-dioxopentyl phosphate is an oxoalkyl phosphate, an aliphatic sulfide and an alpha-diketone. It is a conjugate acid of a 5-(methylsulfanyl)-2,3-dioxopentyl phosphate(2-). It is a tautomer of a 2-hydroxy-5-(methylsulfanyl)-3-oxopent-1-enyl phosphate."
562,142.0,4,2,4,"1,2-dihydroxy-5-methylsulfanylpent-1-en-3-one",0.8,C6H10O3S,162.21,CSCCC(=O)C(=CO)O,82.8,0,10,
563,62.7,3,1,3,3-methylsulfanylpropanoic acid,0.4,C4H8O2S,120.17,CSCCC(=O)O,62.6,0,7,"3-(methylthio)propionic acid is a thia fatty acid acid consisting of propionic acid with a methylthio substituent at the 3-position; an intermediate in mammalian methionine metabolism in vitro. The simplest known phytotoxin, it is a blight-inducing toxin produced by the cassava pathogen Xanthomonas campestris manihotis. It has a role as a phytotoxin. It is functionally related to a propionic acid. It is a conjugate acid of a 3-(methylthio)propionate."
564,83.1,3,2,5,6-aminohexanoic acid,,C6H13NO2,131.17,C(CCC(=O)O)CCN,63.3,0,9,
566,109.0,2,1,1,acetic acid;phenylmercury,,C8H9HgO2,337.75,CC(=O)O.C1=CC=C(C=C1)[Hg],37.3,0,11,
567,46.1,0,0,0,phenylmercury,,C6H5Hg,277.7,C1=CC=C(C=C1)[Hg],0.0,0,7,
568,170.0,1,0,0,dibenzofuran,,C12H8O,168.19,C1=CC=C2C(=C1)C3=CC=CC=C3O2,13.1,0,13,
569,207.0,3,3,1,"3-(2-hydroxyphenyl)benzene-1,2-diol",2.5,C12H10O3,202.21,C1=CC=C(C(=C1)C2=C(C(=CC=C2)O)O)O,60.7,0,15,
570,322.0,4,2,4,"6-hydroxy-2-oxo-6-phenylhexa-3,5-dienoic acid",1.8,C12H10O4,218.2,C1=CC=C(C=C1)C(=CC=CC(=O)C(=O)O)O,74.6,0,16,
571,310.0,6,3,12,4-(8-amino-8-oxo-1-sulfanyloctan-3-yl)sulfanyl-4-oxobutanoic acid,0.7,C12H21NO4S2,307.4,C(CCC(=O)N)CC(CCS)SC(=O)CCC(=O)O,124.0,0,19,
572,166.0,5,3,4,3-[formyl(hydroxy)amino]propylphosphonic acid,-2.2,C4H10NO5P,183.1,C(CN(C=O)O)CP(=O)(O)O,98.1,0,11,
573,1120.0,0,0,10,"1,3,3-trimethyl-2-[3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene",,C40H56,536.9,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,0.0,0,40,
577,384.0,10,9,3,"[4,5-dihydroxy-6-(hydroxymethyl)-2-(2,3,4,5,6-pentahydroxycyclohexyl)oxyoxan-3-yl]azanium",-5.6,C12H24NO10+,342.32,C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)O)O)O)O)[NH3+])O)O)O,208.0,1,23,
578,384.0,11,9,3,"6-[3-amino-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycyclohexane-1,2,3,4,5-pentol",-5.6,C12H23NO10,341.31,C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)O)O)O)O)N)O)O)O,206.0,0,23,
579,478.0,11,9,4,"N-[4,5-dihydroxy-6-(hydroxymethyl)-2-(2,3,4,5,6-pentahydroxycyclohexyl)oxyoxan-3-yl]acetamide",-5.3,C14H25NO11,383.35,CC(=O)NC1C(C(C(OC1OC2C(C(C(C(C2O)O)O)O)O)CO)O)O,209.0,0,26,
580,643.0,13,11,7,"2-acetamido-N-[4,5-dihydroxy-6-(hydroxymethyl)-2-(2,3,4,5,6-pentahydroxycyclohexyl)oxyoxan-3-yl]-3-sulfanylpropanamide",-5.6,C17H30N2O12S,486.5,CC(=O)NC(CS)C(=O)NC1C(C(C(OC1OC2C(C(C(C(C2O)O)O)O)O)CO)O)O,240.0,0,32,
581,148.0,4,3,3,2-acetamido-3-sulfanylpropanoic acid,,C5H9NO3S,163.2,CC(=O)NC(CS)C(=O)O,67.4,0,10,
582,1420.0,26,20,17,"2-acetamido-3-[[2-acetamido-3-[[4,5-dihydroxy-6-(hydroxymethyl)-2-(2,3,4,5,6-pentahydroxycyclohexyl)oxyoxan-3-yl]amino]-3-oxopropyl]disulfanyl]-N-[4,5-dihydroxy-6-(hydroxymethyl)-2-(2,3,4,5,6-pentahydroxycyclohexyl)oxyoxan-3-yl]propanamide",-11.4,C34H58N4O24S2,971.0,CC(=O)NC(CSSCC(C(=O)NC1C(C(C(OC1OC2C(C(C(C(C2O)O)O)O)O)CO)O)O)NC(=O)C)C(=O)NC3C(C(C(OC3OC4C(C(C(C(C4O)O)O)O)O)CO)O)O,528.0,0,64,
583,229.0,1,0,1,1-methyl-5-(1-methylpyridin-1-ium-3-yl)pyrrolidin-2-one,,C11H15N2O+,191.25,CN1C(CCC1=O)C2=C[N+](=CC=C2)C,24.2,1,14,Cotinine methonium ion is a member of pyrrolidines and a member of pyridines.
584,273.0,4,2,1,2-hydroxychromene-2-carboxylic acid,,C10H8O4,192.17,C1=CC=C2C(=C1)C=CC(O2)(C(=O)O)O,66.8,0,14,2-hydroxychromene-2-carboxylic acid is a chromenemonocarboxylic acid that consists of chromene bearing carboxy and hydroxy substituents at the 2-position. It is a chromenol and a chromenemonocarboxylic acid. It is a conjugate acid of a 2-hydroxychromene-2-carboxylate.
585,257.0,4,2,3,4-(2-hydroxyphenyl)-2-oxobut-3-enoic acid,1.4,C10H8O4,192.17,C1=CC=C(C(=C1)C=CC(=O)C(=O)O)O,74.6,0,14,
586,134.0,3,3,3,2-[carbamimidoyl(methyl)amino]acetic acid,-1.2,C4H9N3O2,131.13,CN(CC(=O)O)C(=N)N,90.4,0,9,"Creatine is a glycine derivative having methyl and amidino groups attached to the nitrogen. It has a role as a neuroprotective agent, a nutraceutical, a human metabolite, a mouse metabolite and a geroprotector. It is a member of guanidines and a glycine derivative. It is a conjugate acid of a creatinate. It is a tautomer of a creatine zwitterion."
587,271.0,6,4,4,2-[methyl-(N'-phosphonocarbamimidoyl)amino]acetic acid,-2.6,C4H10N3O5P,211.11,CN(CC(=O)O)C(=NP(=O)(O)O)N,136.0,0,13,
588,151.0,1,1,0,2-amino-3-methyl-4H-imidazol-5-one,,C4H7N3O,113.12,CN1CC(=O)N=C1N,58.7,0,8,
589,139.0,2,0,2,4-(trimethylazaniumyl)but-2-enoate,0.7,C7H13NO2,143.18,C[N+](C)(C)CC=CC(=O)[O-],40.1,0,10,
590,144.0,2,1,3,3-carboxyprop-2-enyl(trimethyl)azanium,0.1,C7H14NO2+,144.19,C[N+](C)(C)CC=CC(=O)O,37.3,1,10,
591,1570.0,22,9,23,"[4-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4-oxobut-2-enyl]-trimethylazanium",-5.3,C28H48N8O17P3S+,893.7,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC[N+](C)(C)C)O,389.0,1,57,
592,1460.0,22,9,21,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] but-2-enethioate",,C25H40N7O17P3S,835.6,CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,389.0,0,53,
593,855.0,14,7,8,"[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",,C9H16N3O14P3,483.16,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,268.0,0,29,
594,75.3,4,3,2,2-amino-3-sulfanylpropanoic acid,,C3H7NO2S,121.16,C(C(C(=O)O)N)S,64.3,0,7,"Cysteine is a sulfur-containing amino acid that is propanoic acid with an amino group at position 2 and a sulfanyl group at position 3. It has a role as a fundamental metabolite. It is an alpha-amino acid, a polar amino acid and a sulfur-containing amino acid. It contains a sulfanylmethyl group. It is a conjugate base of a cysteinium. It is a conjugate acid of a cysteinate(1-). It is a tautomer of a cysteine zwitterion."
595,192.0,8,4,7,2-amino-3-[(2-amino-2-carboxyethyl)disulfanyl]propanoic acid,-6.3,C6H12N2O4S2,240.3,C(C(C(=O)O)N)SSCC(C(=O)O)N,177.0,0,14,"Cystine is a sulfur-containing amino acid obtained by the oxidation of two cysteine molecules which are then linked via a disulfide bond. It has a role as a human metabolite and a mouse metabolite. It is an organic disulfide, a sulfur-containing amino acid and a cysteine derivative. It is a tautomer of a cystine zwitterion."
596,383.0,5,4,2,"4-amino-1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one",,C9H13N3O5,243.22,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,129.0,0,17,
597,170.0,2,2,0,6-amino-1H-pyrimidin-2-one,,C4H5N3O,111.1,C1=C(NC(=O)N=C1)N,67.5,0,8,"Cytosine is an aminopyrimidine that is pyrimidin-2-one having the amino group located at position 4. It has a role as a human metabolite, an Escherichia coli metabolite, a Saccharomyces cerevisiae metabolite and a mouse metabolite. It is a pyrimidine nucleobase, a pyrimidone and an aminopyrimidine."
598,118.0,4,2,2,2-sulfanylethanesulfonic acid,-0.6,C2H6O3S2,142.2,C(CS(=O)(=O)O)S,63.8,0,7,Coenzyme M is an organosulfonic acid consisting of sulfonic acid having a 2-mercaptoethyl group attached to sulfur. It has a role as a coenzyme. It is an organosulfonic acid and a thiol. It is a conjugate acid of a coenzyme M(1-).
599,195.0,6,3,4,2-hydroxy-4-oxopentanedioic acid,,C5H6O6,162.1,C(C(C(=O)O)O)C(=O)C(=O)O,112.0,0,11,4-hydroxy-2-oxoglutaric acid is an oxo dicarboxylic acid comprising glutaric acid having oxo- and hydroxy substituents at the 2- and 4-positions respectively. It is functionally related to a glutaric acid. It is a conjugate acid of a 4-hydroxy-2-oxoglutarate(1-).
600,311.0,9,5,3,"(3,4,5-trihydroxy-6-oxooxan-2-yl)methyl dihydrogen phosphate",-3.7,C6H11O9P,258.12,C(C1C(C(C(C(=O)O1)O)O)O)OP(=O)(O)O,154.0,0,16,
601,169.0,4,3,3,2-(2-aminopropanoylamino)propanoic acid,-3.3,C6H12N2O3,160.17,CC(C(=O)NC(C)C(=O)O)N,92.4,0,11,Alanylalanine is a dipeptide. It is functionally related to an alanine.
602,61.8,3,2,1,2-aminopropanoic acid,,C3H7NO2,89.09,CC(C(=O)O)N,63.3,0,6,
603,273.0,9,6,7,"(2,3,4,6-tetrahydroxy-5-oxohexyl) dihydrogen phosphate",-4.3,C6H13O9P,260.14,C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O,165.0,0,16,
604,170.0,7,6,5,"2,3,4,5,6-pentahydroxyhexanoic acid",-3.4,C6H12O7,196.16,C(C(C(C(C(C(=O)O)O)O)O)O)O,138.0,0,13,
605,1560.0,23,10,24,"[4-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-2-hydroxy-4-oxobutyl]-trimethylazanium",-6.3,C28H50N8O18P3S+,911.7,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(C[N+](C)(C)C)O)O,409.0,1,58,
606,246.0,7,5,5,"[2,3-dihydroxy-3-(1H-imidazol-5-yl)propyl] dihydrogen phosphate",-3.2,C6H11N2O6P,238.14,C1=C(NC=N1)C(C(COP(=O)(O)O)O)O,136.0,0,15,
607,202.0,8,6,5,"2,3,4,5-tetrahydroxyhexanedioic acid",,C6H10O8,210.14,C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O,156.0,0,14,
608,181.0,6,4,2,"5-(1,2-dihydroxyethyl)-3,4-dihydroxyoxolan-2-one",-2.0,C6H10O6,178.14,C(C(C1C(C(C(=O)O1)O)O)O)O,107.0,0,12,"Gulono-1,4-lactone is a gamma-lactone."
609,282.0,9,6,3,"(5-amino-3,4,6-trihydroxyoxan-2-yl)methyl dihydrogen phosphate",-6.8,C6H14NO8P,259.15,C(C1C(C(C(C(O1)O)N)O)O)OP(=O)(O)O,163.0,0,16,
610,205.0,7,5,1,"3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",-2.3,C6H10O7,194.14,C1(C(C(OC(C1O)O)C(=O)O)O)O,127.0,0,13,
611,145.0,5,3,4,2-aminopentanedioic acid,,C5H9NO4,147.13,C(CC(=O)O)C(C(=O)O)N,101.0,0,10,
612,59.1,3,2,1,2-hydroxypropanoic acid,,C3H6O3,90.08,CC(C(=O)O)O,57.5,0,6,
613,1530.0,24,10,22,"3-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-2-methyl-3-oxopropanoic acid",-5.4,C25H40N7O19P3S,867.6,CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,426.0,0,55,
614,103.0,3,2,1,pyrrolidine-2-carboxylic acid,,C5H9NO2,115.13,C1CC(NC1)C(=O)O,49.3,0,8,
615,234.0,8,5,6,"(3,4,5-trihydroxy-2-oxopentyl) dihydrogen phosphate",-3.7,C5H11O8P,230.11,C(C(C(C(=O)COP(=O)(O)O)O)O)O,145.0,0,14,
616,313.0,10,7,8,"(2,3,4,5,7-pentahydroxy-6-oxoheptyl) dihydrogen phosphate",-5.0,C7H15O10P,290.16,C(C(C(C(C(C(=O)CO)O)O)O)O)OP(=O)(O)O,185.0,0,18,
617,72.6,4,3,2,2-amino-3-hydroxypropanoic acid,,C3H7NO3,105.09,C(C(C(=O)O)N)O,83.6,0,7,Serine is an alpha-amino acid that is alanine substituted at position 3 by a hydroxy group. It has a role as a fundamental metabolite. It is an alpha-amino acid and a polar amino acid. It contains a hydroxymethyl group. It is a conjugate base of a serinium. It is a conjugate acid of a serinate. It is a tautomer of a serine zwitterion.
618,240.0,9,7,7,"2,3,4,5,6-pentahydroxyhexyl dihydrogen phosphate",-4.7,C6H15O9P,262.15,C(C(C(C(C(COP(=O)(O)O)O)O)O)O)O,168.0,0,16,Alditol 6-phosphate is an alditol phosphate.
619,113.0,5,4,4,"1,3,4,5-tetrahydroxypentan-2-one",-2.6,C5H10O5,150.13,C(C(C(C(=O)CO)O)O)O,98.0,0,10,
620,607.0,13,5,6,[5-(6-aminopurin-9-yl)-3-hydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate,,C10H15N5O9P2,411.2,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)O)O,212.0,0,26,
621,452.0,10,4,4,[5-(6-aminopurin-9-yl)-3-hydroxyoxolan-2-yl]methyl dihydrogen phosphate,,C10H14N5O6P,331.22,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O,166.0,0,22,
622,769.0,16,6,8,[[5-(6-aminopurin-9-yl)-3-hydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate,,C10H16N5O12P3,491.18,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,259.0,0,30,
